id,cod_canton,canton,longitud,latitud,fecha,casos_confirmados,casos_muertes,casos_recuperados,casos_activos,cc_nuevos
1,101,San José,-84.06941788,9.93636416,2020-12-08 19:00:00,19923,302,17591,2030,69
2,102,Escazú,-84.14933876,9.918201914,2020-12-08 19:00:00,2086,31,1861,194,9
3,103,Desamparados,-84.07047487,9.897402105,2020-12-08 19:00:00,8947,135,5749,3063,28
4,104,Puriscal,-84.285354,9.793207201,2020-12-08 19:00:00,743,9,631,103,2
5,105,Tarrazú,-84.00468369,9.671980602,2020-12-08 19:00:00,81,2,77,2,0
6,106,Aserrí,-84.10828155,9.855160537,2020-12-08 19:00:00,1668,17,1320,331,9
7,107,Mora,-84.25795685,9.91143713,2020-12-08 19:00:00,992,12,889,91,2
8,108,Goicoechea,-84.05102474,9.948680904,2020-12-08 19:00:00,4390,76,3741,573,27
9,109,Santa Ana,-84.1759112,9.930962627,2020-12-08 19:00:00,2210,26,1854,330,9
10,110,Alajuelita,-84.10025876,9.902855811,2020-12-08 19:00:00,5433,61,4726,646,18
11,111,Vázquez de Coronado,-84.00567725,9.974782004,2020-12-08 19:00:00,1952,29,1579,344,18
12,112,Acosta,-84.16309437,9.799345728,2020-12-08 19:00:00,721,4,630,87,0
13,113,Tibás,-84.07627539,9.963268245,2020-12-08 19:00:00,2851,59,1865,927,11
14,114,Moravia,-84.04854601,9.963558322,2020-12-08 19:00:00,1424,18,1167,239,8
15,115,Montes de Oca,-84.04602855,9.933616535,2020-12-08 19:00:00,1365,18,1164,183,13
16,116,Turrubares,-84.4559075,9.910455369,2020-12-08 19:00:00,121,0,91,30,2
17,117,Dota,-83.96928936,9.586521509,2020-12-08 19:00:00,47,1,32,14,1
18,118,Curridabat,-84.03740245,9.916479658,2020-12-08 19:00:00,3057,41,2641,375,13
19,119,Pérez Zeledón,-83.71988414,9.321401128,2020-12-08 19:00:00,1548,26,293,1229,19
20,120,León Cortés Castro,-84.04630724,9.684706017,2020-12-08 19:00:00,96,0,85,11,1
21,201,Alajuela,-84.20609305,10.02369055,2020-12-08 19:00:00,11129,142,6189,4798,73
22,202,San Ramón,-84.46975549,10.08715713,2020-12-08 19:00:00,1850,19,987,844,19
23,203,Grecia,-84.31313859,10.06977307,2020-12-08 19:00:00,1614,24,702,888,17
24,204,San Mateo,-84.53135552,9.967026072,2020-12-08 19:00:00,87,1,69,17,1
25,205,Atenas,-84.3686175,9.983801207,2020-12-08 19:00:00,635,3,318,314,5
26,206,Naranjo,-84.39040728,10.10082292,2020-12-08 19:00:00,1333,13,699,621,15
27,207,Palmares,-84.43271967,10.054232,2020-12-08 19:00:00,972,11,733,228,0
28,208,Poás,-84.24539019,10.07742203,2020-12-08 19:00:00,972,11,833,128,21
29,209,Orotina,-84.52753462,9.904080156,2020-12-08 19:00:00,625,5,534,86,2
30,210,San Carlos,-84.41246951,10.32598418,2020-12-08 19:00:00,6206,47,4640,1519,42
31,211,Zarcero,-84.37977641,10.18970908,2020-12-08 19:00:00,529,6,201,322,7
32,212,Sarchí,-84.321202,10.15714738,2020-12-08 19:00:00,354,2,269,83,3
33,213,Upala,-84.9490495,10.81408146,2020-12-08 19:00:00,673,9,475,189,12
34,214,Los Chiles,-84.60418476,10.96263104,2020-12-08 19:00:00,539,8,484,47,0
35,215,Guatuso,-84.78833222,10.68057656,2020-12-08 19:00:00,455,4,318,133,0
36,216,Río Cuarto,-84.22455008,10.31944588,2020-12-08 19:00:00,453,3,314,136,1
37,301,Cartago,-83.91582049,9.862066327,2020-12-08 19:00:00,3217,31,2031,1155,24
38,302,Paraíso,-83.85038919,9.841857885,2020-12-08 19:00:00,730,10,622,98,5
39,303,La Unión,-83.98816893,9.908032058,2020-12-08 19:00:00,3372,40,2565,767,11
40,304,Jiménez,-83.7467669,9.90173806,2020-12-08 19:00:00,145,1,125,19,1
41,305,Turrialba,-83.68604945,9.886997968,2020-12-08 19:00:00,722,7,420,295,11
42,306,Alvarado,-83.81908822,9.939670267,2020-12-08 19:00:00,202,2,154,46,2
43,307,Oreamuno,-83.89568808,9.871413332,2020-12-08 19:00:00,1304,9,1048,247,13
44,308,El Guarco,-83.951957,9.841908204,2020-12-08 19:00:00,939,9,479,451,5
45,401,Heredia,-84.11693229,9.998494455,2020-12-08 19:00:00,5638,80,3507,2051,39
46,402,Barva,-84.12340651,10.02013931,2020-12-08 19:00:00,1289,11,1110,168,6
47,403,Santo Domingo,-84.09097331,9.979691125,2020-12-08 19:00:00,1667,21,1126,520,4
48,404,Santa Bárbara,-84.15857892,10.0374214,2020-12-08 19:00:00,1072,11,767,294,6
49,405,San Rafael,-84.09925244,10.01585299,2020-12-08 19:00:00,1605,17,1351,237,14
50,406,San Isidro,-84.05302148,10.01222989,2020-12-08 19:00:00,825,17,612,196,8
51,407,Belén,-84.18609284,9.978034912,2020-12-08 19:00:00,868,9,615,244,10
52,408,Flores,-84.1560831,10.0062164,2020-12-08 19:00:00,852,6,591,255,7
53,409,San Pablo,-84.09033629,9.99925968,2020-12-08 19:00:00,1021,16,754,251,11
54,410,Sarapiquí,-83.95359142,10.53670502,2020-12-08 19:00:00,1661,14,1157,490,11
55,501,Liberia,-85.45043919,10.58648947,2020-12-08 19:00:00,1958,14,836,1108,23
56,502,Nicoya,-85.50513652,10.11836835,2020-12-08 19:00:00,1267,22,989,256,11
57,503,Santa Cruz,-85.59904936,10.23883004,2020-12-08 19:00:00,1200,6,534,660,21
58,504,Bagaces,-85.28290817,10.46453595,2020-12-08 19:00:00,319,2,256,61,1
59,505,Carrillo,-85.472751,10.3996637,2020-12-08 19:00:00,659,9,470,180,6
60,506,Cañas,-85.09037361,10.45009647,2020-12-08 19:00:00,745,14,570,161,7
61,507,Abangares,-85.023054,10.25903998,2020-12-08 19:00:00,392,0,257,135,4
62,508,Tilarán,-84.884329,10.43070771,2020-12-08 19:00:00,253,3,171,79,4
63,509,Nandayure,-85.25992644,9.988700943,2020-12-08 19:00:00,175,5,132,38,3
64,510,La Cruz,-85.62098864,11.07051592,2020-12-08 19:00:00,469,5,398,66,2
65,511,Hojancha,-85.42682388,10.0401856,2020-12-08 19:00:00,152,1,126,25,2
66,601,Puntarenas,-84.77192376,10.01374695,2020-12-08 19:00:00,4973,68,3226,1679,35
67,602,Esparza,-84.68217849,9.98918818,2020-12-08 19:00:00,1061,12,568,481,19
68,603,Buenos Aires,-83.27717729,9.202357913,2020-12-08 19:00:00,579,16,167,396,15
69,604,Montes de Oro,-84.7377855,10.10073849,2020-12-08 19:00:00,524,8,340,176,4
70,605,Osa,-83.57765812,9.02270849,2020-12-08 19:00:00,483,15,231,237,1
71,606,Quepos,-84.138683,9.420835934,2020-12-08 19:00:00,767,12,615,140,0
72,607,Golfito,-83.09056225,8.608328209,2020-12-08 19:00:00,748,4,303,441,19
73,608,Coto Brus,-82.97740047,8.838157998,2020-12-08 19:00:00,362,6,116,240,5
74,609,Parrita,-84.31792986,9.561747887,2020-12-08 19:00:00,349,4,280,65,1
75,610,Corredores,-82.94377358,8.624121658,2020-12-08 19:00:00,1475,14,925,536,30
76,611,Garabito,-84.60098248,9.627547568,2020-12-08 19:00:00,1102,10,783,309,19
77,701,Limón,-83.07085839,9.980716574,2020-12-08 19:00:00,3985,38,3290,657,29
78,702,Pococí,-83.85358221,10.17985065,2020-12-08 19:00:00,2818,18,1757,1043,55
79,703,Siquirres,-83.55501025,10.03405842,2020-12-08 19:00:00,1700,14,1031,655,14
80,704,Talamanca,-82.9719785,9.598345633,2020-12-08 19:00:00,1259,24,667,568,5
81,705,Matina,-83.2896275,9.888637149,2020-12-08 19:00:00,963,9,773,181,4
82,706,Guácimo,-83.70360725,10.17511253,2020-12-08 19:00:00,888,7,671,210,5
83,888,Otro,,,2020-12-08 19:00:00,595,0,419,176,0
84,999,Desconocido,,,2020-12-08 19:00:00,0,0,0,0,0
