id,cod_canton,canton,longitud,latitud,fecha,casos_confirmados,casos_muertes,casos_recuperados,casos_activos,cc_nuevos
1,101,San José,-84.06941788,9.93636416,2020-03-15 19:00:00,3,0,0,3,3
2,102,Escazú,-84.14933876,9.918201914,2020-03-15 19:00:00,4,0,0,4,4
3,103,Desamparados,-84.07047487,9.897402105,2020-03-15 19:00:00,4,0,0,4,4
4,104,Puriscal,-84.285354,9.793207201,2020-03-15 19:00:00,0,0,0,0,0
5,105,Tarrazú,-84.00468369,9.671980602,2020-03-15 19:00:00,0,0,0,0,0
6,106,Aserrí,-84.10828155,9.855160537,2020-03-15 19:00:00,0,0,0,0,0
7,107,Mora,-84.25795685,9.91143713,2020-03-15 19:00:00,0,0,0,0,0
8,108,Goicoechea,-84.05102474,9.948680904,2020-03-15 19:00:00,0,0,0,0,0
9,109,Santa Ana,-84.1759112,9.930962627,2020-03-15 19:00:00,2,0,0,2,2
10,110,Alajuelita,-84.10025876,9.902855811,2020-03-15 19:00:00,0,0,0,0,0
11,111,Vázquez de Coronado,-84.00567725,9.974782004,2020-03-15 19:00:00,0,0,0,0,0
12,112,Acosta,-84.16309437,9.799345728,2020-03-15 19:00:00,0,0,0,0,0
13,113,Tibás,-84.07627539,9.963268245,2020-03-15 19:00:00,1,0,0,1,1
14,114,Moravia,-84.04854601,9.963558322,2020-03-15 19:00:00,0,0,0,0,0
15,115,Montes de Oca,-84.04602855,9.933616535,2020-03-15 19:00:00,0,0,0,0,0
16,116,Turrubares,-84.4559075,9.910455369,2020-03-15 19:00:00,0,0,0,0,0
17,117,Dota,-83.96928936,9.586521509,2020-03-15 19:00:00,0,0,0,0,0
18,118,Curridabat,-84.03740245,9.916479658,2020-03-15 19:00:00,0,0,0,0,0
19,119,Pérez Zeledón,-83.71988414,9.321401128,2020-03-15 19:00:00,1,0,0,1,1
20,120,León Cortés Castro,-84.04630724,9.684706017,2020-03-15 19:00:00,0,0,0,0,0
21,201,Alajuela,-84.20609305,10.02369055,2020-03-15 19:00:00,9,0,0,9,9
