object01,id,pais,fecha,casos_descartados,casos_confirmados,conf_lab,conf_nexo,casos_muertes,casos_recuperados,casos_nacionales,casos_extranjeros,casos_mujeres,casos_hombres,cc_adult,cc_adult_may,cc_menores,cc_edad_nc,cc_hospit,cc_salon,cc_ci,cc_hospi_nv,cc_salon_nv,cc_uci_nv,casos_investigacion,delta,cc_activos,muestras,cr_muj,cr_hom,cr_adult,cr_adult_may,cr_menores,cr_edad_nc,cd_muj,cd_hom,letalidad,muestr_n,dia_covid19
1,1,Costa Rica,2020-03-05 19:00:00,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,Costa Rica,2020-03-06 19:00:00,0,2,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0
3,3,Costa Rica,2020-03-07 19:00:00,0,5,4,0,0,0,3,2,3,2,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,0,0,0,0,0,0,0,0,1
4,4,Costa Rica,2020-03-08 19:00:00,0,9,4,0,0,0,7,2,3,2,0,0,0,0,0,0,0,0,0,0,0,4,9,0,0,0,0,0,0,0,0,0,0,0,2
5,5,Costa Rica,2020-03-09 19:00:00,35,9,0,0,0,0,7,2,6,3,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,3
6,6,Costa Rica,2020-03-10 19:00:00,59,13,4,0,0,0,10,3,7,6,0,0,0,0,0,0,0,0,0,0,0,4,13,0,0,0,0,0,0,0,0,0,0,0,4
7,7,Costa Rica,2020-03-11 19:00:00,118,22,9,0,0,0,19,3,14,8,18,2,2,0,0,0,0,0,0,0,0,9,22,0,0,0,0,0,0,0,0,0,0,0,5
8,8,Costa Rica,2020-03-12 19:00:00,206,23,1,0,0,0,20,3,14,9,19,2,2,0,0,0,0,0,0,0,0,1,23,0,0,0,0,0,0,0,0,0,0,0,6
9,9,Costa Rica,2020-03-13 19:00:00,289,26,3,0,0,0,23,3,14,12,21,3,2,0,0,0,0,0,0,0,0,3,26,0,0,0,0,0,0,0,0,0,0,0,7
10,10,Costa Rica,2020-03-14 19:00:00,415,27,1,0,0,0,23,4,15,12,22,3,2,0,0,0,0,0,0,0,0,1,27,0,0,0,0,0,0,0,0,0,0,0,8
11,11,Costa Rica,2020-03-15 19:00:00,450,35,8,0,0,0,30,5,19,16,28,3,4,0,0,0,0,0,0,0,0,8,35,0,0,0,0,0,0,0,0,0,0,0,9
12,12,Costa Rica,2020-03-16 19:00:00,615,41,6,0,0,0,35,6,20,21,32,5,4,0,0,0,0,0,0,0,0,6,41,0,0,0,0,0,0,0,0,0,0,0,10
13,13,Costa Rica,2020-03-17 19:00:00,720,50,9,0,0,0,44,6,24,26,40,6,4,0,0,0,0,0,0,0,0,9,50,0,0,0,0,0,0,0,0,0,0,0,11
14,14,Costa Rica,2020-03-18 19:00:00,855,69,19,0,1,0,63,6,30,39,57,7,5,0,0,0,0,0,0,0,0,19,68,0,0,0,0,0,0,0,0,0,0,0,12
15,15,Costa Rica,2020-03-19 19:00:00,951,89,20,0,2,0,79,8,35,52,73,7,7,0,0,0,0,0,0,0,0,20,87,0,0,0,0,0,0,0,0,1,1.2,0,13
16,16,Costa Rica,2020-03-20 19:00:00,1046,113,24,0,2,2,104,9,46,67,97,9,7,0,0,0,0,0,0,0,0,24,109,0,0,0,0,0,0,0,0,2,1.8,0,14
17,17,Costa Rica,2020-03-21 19:00:00,1190,117,4,0,2,2,107,10,48,69,100,10,7,0,0,0,0,0,0,0,0,4,113,0,0,0,0,0,0,0,0,2,1.7,0,15
18,18,Costa Rica,2020-03-22 19:00:00,1400,134,17,0,2,2,117,17,55,79,113,14,7,0,0,0,0,0,0,0,0,17,130,0,0,0,0,0,0,0,0,2,1.5,0,16
19,19,Costa Rica,2020-03-23 19:00:00,1533,158,24,0,2,2,141,14,68,90,135,16,7,0,0,0,0,0,0,0,0,24,154,0,0,0,0,0,0,0,0,2,1.3,0,17
20,20,Costa Rica,2020-03-24 19:00:00,1619,177,19,0,2,2,159,18,74,103,154,16,7,0,0,0,0,0,0,0,0,19,173,0,0,0,0,0,0,0,0,2,1.1,0,18
21,21,Costa Rica,2020-03-25 19:00:00,1684,201,24,0,2,2,183,18,84,117,177,17,7,0,0,0,0,0,0,0,0,24,197,0,0,0,0,0,0,0,0,2,1,0,19
22,22,Costa Rica,2020-03-26 19:00:00,2331,231,30,0,2,2,209,18,101,130,204,19,8,0,0,0,0,0,0,0,4,30,227,0,0,0,0,0,0,0,0,2,0.9,0,20
23,23,Costa Rica,2020-03-27 19:00:00,2786,263,32,0,2,3,241,20,121,142,233,22,8,0,0,0,0,0,0,0,2,32,258,0,0,0,0,0,0,0,0,2,0.8,0,21
24,24,Costa Rica,2020-03-28 19:00:00,2912,295,32,0,2,3,272,21,138,157,263,22,10,0,15,9,6,0,0,0,2,32,290,0,0,0,0,0,0,0,0,2,0.7,0,22
25,25,Costa Rica,2020-03-29 19:00:00,3115,314,19,0,2,3,290,24,150,164,280,22,12,0,13,7,6,0,0,0,0,19,309,0,0,0,0,0,0,0,0,2,0.6,0,23
26,26,Costa Rica,2020-03-30 19:00:00,3362,330,16,0,2,4,303,27,160,170,293,24,13,0,15,8,7,0,0,0,0,16,324,0,0,0,0,0,0,0,0,2,0.6,0,24
27,27,Costa Rica,2020-03-31 19:00:00,3498,347,17,0,2,4,320,27,167,180,309,24,14,0,15,7,8,0,0,0,0,17,341,0,0,0,0,0,0,0,0,2,0.6,0,25
28,28,Costa Rica,2020-04-01 19:00:00,3843,375,28,0,2,4,346,29,181,194,337,24,14,0,15,6,9,0,-1,1,0,28,369,0,0,0,0,0,0,0,0,2,0.5,0,26
29,29,Costa Rica,2020-04-02 19:00:00,3954,396,21,0,2,6,366,30,192,204,356,26,14,0,17,6,11,2,0,2,0,21,388,0,0,0,0,0,0,0,0,2,0.5,0,27
30,30,Costa Rica,2020-04-03 19:00:00,4044,416,20,0,2,11,385,31,201,215,373,27,16,0,23,10,13,6,4,2,0,20,403,0,0,0,0,0,0,0,0,2,0.5,0,28
31,31,Costa Rica,2020-04-04 19:00:00,4219,435,19,0,2,13,404,31,212,223,392,28,15,0,25,12,13,2,2,0,0,19,420,0,0,0,0,0,0,0,0,2,0.5,0,29
32,32,Costa Rica,2020-04-05 19:00:00,4644,454,19,0,2,16,423,31,222,232,411,28,15,0,26,12,14,1,0,1,0,19,436,0,0,0,0,0,0,0,0,2,0.4,0,30
33,33,Costa Rica,2020-04-06 19:00:00,4896,467,13,0,2,18,435,32,227,240,422,29,16,0,26,12,14,0,0,0,0,13,447,0,0,0,0,0,0,0,0,2,0.4,0,31
34,34,Costa Rica,2020-04-07 19:00:00,5042,483,16,0,2,24,449,34,237,246,437,29,17,0,25,11,14,-1,-1,0,0,16,457,0,0,0,0,0,0,0,0,2,0.4,0,32
35,35,Costa Rica,2020-04-08 19:00:00,5533,502,19,0,3,29,468,34,243,259,455,29,18,0,23,8,15,-2,-3,1,0,19,470,0,0,0,0,0,0,0,0,2,0.4,0,33
36,36,Costa Rica,2020-04-09 19:00:00,5759,539,37,0,3,30,505,34,259,280,492,29,18,0,19,6,13,-4,-2,-2,0,37,506,0,0,0,0,0,0,0,0,3,0.6,0,34
37,37,Costa Rica,2020-04-10 19:00:00,5894,558,19,0,3,42,524,34,269,289,508,30,20,0,20,7,13,1,1,0,0,19,513,0,0,0,0,0,0,0,0,3,0.5,0,35
38,38,Costa Rica,2020-04-11 19:00:00,6031,577,19,0,3,49,541,36,277,300,526,31,20,0,18,5,13,-2,-2,0,0,19,525,0,0,0,0,0,0,0,0,3,0.5,0,36
39,39,Costa Rica,2020-04-12 19:00:00,6167,595,18,0,3,56,557,38,285,310,542,31,22,0,19,5,14,1,0,1,0,18,536,0,0,0,0,0,0,0,0,3,0.5,0,37
40,40,Costa Rica,2020-04-13 19:00:00,6256,612,17,0,3,62,569,43,295,317,557,31,24,0,20,6,14,1,1,0,0,17,547,0,0,0,0,0,0,0,0,3,0.5,0,38
41,41,Costa Rica,2020-04-14 19:00:00,6326,618,6,0,3,66,575,43,298,320,562,31,25,0,19,6,13,-1,0,-1,0,6,549,0,0,0,0,0,0,0,0,3,0.5,0,39
42,42,Costa Rica,2020-04-15 19:00:00,6511,626,8,0,4,67,583,43,302,324,570,31,25,0,16,5,11,-3,-1,-2,0,8,555,9089,0,0,0,0,0,0,0,4,0.6,0,40
43,43,Costa Rica,2020-04-16 19:00:00,6709,642,16,0,4,74,591,51,308,334,583,31,28,0,16,5,11,0,0,0,0,16,564,9396,0,0,0,0,0,0,0,4,0.6,307,41
44,44,Costa Rica,2020-04-17 19:00:00,6874,649,7,0,4,88,595,54,312,337,588,31,30,0,15,5,10,-1,0,-1,0,7,557,9752,46,51,0,0,0,0,0,4,0.6,356,42
